Name,MRP,Rate,Discount,Ratings,Packing
Boiron Arsenicum Album Multi Dose Approx 80 Pellets 1000 CH,150.0,142.0,5.0,,bottle of 4 gm Pellets
La Nature's Omega 3 Fish Oil 1000mg Softgel Capsules,749.0,538.0,28.0,,bottle of 60 soft gelatin capsules
ProFoods ARA 10% (Omega 6),6180.0,5314.0,14.0,,packet of 1 kg Powder
Jain Karela Capsule,135.0,116.0,14.0,4.4,bottle of 60 capsules
Bliss Welness Cardio Bliss Absolute Omega 3+6+9 Capsule,699.0,594.0,15.0,,bottle of 60 capsules
HealthyHey Curcumin with Bioperine1300mg Vegetable Caps With Piperine,2399.0,1200.0,50.0,,bottle of 90 vegicaps
Nature's Velvet Garlic Pure Extract 500mg Capsule,600.0,426.0,29.0,,bottle of 60 capsules
"Bliss Welness Immune Bliss Immune Health Tulsi, Amla & Turmeric Extract Vegetarian Capsules",999.0,949.0,5.0,,bottle of 60 vegicaps
Krishna's Tulsi Ark,120.0,111.0,7.0,4.4,bottle of 10 ml Juice
Dr. Reckeweg Arsenicum Album 50M CH Dilution,230.0,219.0,4.0,,bottle of 11 ml Dilution
HealthVit Turmeric Curcumin with Piperine Liquid Drop with Dropper,400.0,292.0,27.0,,bottle of 30 ml Drop
Swadeshi Giloy Sharbat,200.0,162.0,19.0,3.6,bottle of 750 ml Liquid
Dindayal Aushadhi Neem Capsule,132.0,129.0,2.0,,bottle of 60 capsules
Tansukh Giloyghan Vati,120.0,118.0,1.0,3.4,bottle of 20 gm Tablet
Jeevan Ras Tulsi Panchang Juice,250.0,218.0,13.0,4.5,bottle of 500 ml Juice
Vitro Naturals Karela Jamun Juice,310.0,285.0,8.0,4.3,bottle of 1 Ltr Juice
Lama Chyawanprash,325.0,244.0,25.0,4,jar of 1 kg Paste
Kudos Karela Jamun Powder,225.0,201.0,10.0,4.6,bottle of 200 gm Powder
Biotrex Turmeric 400mg Capsule,390.0,301.0,23.0,,bottle of 60 capsules
Satvyk Giloye Powder,90.0,88.0,2.0,,packet of 100 gm Powder
SBL Arsenicum Album 0/3 LM,150.0,139.0,7.0,,bottle of 20 gm Globules
Limitra Karela 500mg Capsule,999.0,699.0,30.0,,bottle of 60 capsules
Geo Fresh Organic Wheat Grass Powder,450.0,405.0,10.0,4.2,bottle of 240 gm Powder
Vyas Karela Churna,80.0,78.0,2.0,,bottle of 100 gm Churna
Basic Ayurveda Neem Leaf Juice,170.0,160.0,6.0,4.5,bottle of 500 ml Juice
Bhumija Lifesciences Karela Jamun Juice Sugar Free,456.0,328.0,28.0,,bottle of 1 Ltr Juice
AVG Giloy & Papaya Leaf Plus Nectar,215.0,173.0,19.0,,bottle of 500 ml Juice
Geo Fresh Organic Wheat Grass Powder,250.0,243.0,2.0,4.2,bottle of 100 gm Powder
Natural Karela 500mg Capsule,999.0,600.0,40.0,,bottle of 60 capsules
Fast&Up Promega 1250mg Omega 3 Soft Gels Chocolate,990.0,545.0,45.0,,bottle of 60 soft gelatin capsules
Maharishi Organic Turmeric Tablet,270.0,240.0,11.0,,bottle of 60 tablets
GAT Sport Omega 3 Purified Fish Oil Softgels Lemon,2100.0,2100.0,0.0,,bottle of 90 soft gelatin capsules
Vitro Naturals Neem Giloy Ras with Tulsi,210.0,204.0,3.0,4.5,bottle of 500 ml Juice
"Neuherbs Apple Cider Vinegar with, Ginger, Garlic, Lemon & Honey",290.0,209.0,28.0,,bottle of 350 ml Liquid
Vitro Naturals Turmeric Premium Juice,295.0,267.0,9.0,,bottle of 500 ml Juice
Meghdoot Special Chyawanprash,180.0,175.0,2.0,4,jar of 500 gm Paste
Herbal Hills Turmeric Powder Pack of 2,196.0,188.0,4.0,,jar of 100 gm Powder
Krishna's Neem Juice,165.0,152.0,8.0,,bottle of 500 ml Juice
Shrimad Tulsi Ark,250.0,217.0,13.0,4.1,bottle of 30 ml Ark
Mewar Impex Giloy Powder,220.0,187.0,15.0,,packet of 100 gm Powder
Nature's Velvet Turmeric Pure Extract 500mg Capsule,1300.0,975.0,25.0,,bottle of 60 capsules
ProFoods Scorbic Acid (Vitamin C),450.0,450.0,0.0,,packet of 125 gm Powder
Jeevan Ras Neem Tailam,60.0,59.0,1.0,,bottle of 60 ml Oil
Organic Wellness OW'REAL Tulsi Green Tea Classic Infusion Bags,129.0,122.0,5.0,3.2,box of 25 Sachets
Dr Willmar Schwabe India Arsenicum Album Dilution 1000 CH,120.0,108.0,10.0,,bottle of 30 ml Dilution
Mewar Impex Giloy Powder,600.0,510.0,15.0,,packet of 500 gm Powder
HealthVit Natural Karela (Momordicacharantia)  Powder,81.0,79.0,2.0,,packet of 100 gm Powder
"NutrActive Apple Cider Vinegar with Ginger, Garlic, Lemon & Honey",599.0,418.0,30.0,4.2,bottle of 500 ml Liquid
Vitro Naturals Dangee Plus Premium Juice,295.0,262.0,11.0,,bottle of 500 ml Juice
Bio-Av Curcumin 250mg Tablet,460.0,451.0,2.0,,bottle of 30 tablets
Organic Wellness OW' Real Tulsi Herbal Infusion Bags The Original,99.0,97.0,2.0,,packet of 25 tea bags
Bjain Arsenicum Album Dilution 1000 CH,199.0,173.0,13.0,,bottle of 100 ml Dilution
Zindagi Krishna Tulsi,182.0,160.0,12.0,4.7,bottle of 30 ml Liquid
Naturz Ayurveda Tulsi 400mg Capsule,450.0,370.0,17.0,,bottle of 120 capsules
Dr Willmar Schwabe India Arsenicum Album Dilution CM CH,325.0,276.0,15.0,,bottle of 10 ml Dilution
La Nature's Flax Seed Oil Softgel Capsules,549.0,384.0,30.0,4.2,bottle of 60 soft gelatin capsules
Shrimad Giloy Neem Tulsi Ras,190.0,164.0,13.0,3.7,bottle of 500 ml Juice
Herbal Trends Panch Tulsi Drop,115.0,106.0,8.0,2.7,bottle of 20 ml Drop
Kerala Naturals Organic Neem Leaf Powder,100.0,97.0,3.0,3.7,packet of 100 gm Powder
Satvyk Organic Premium Turmeric Powder,130.0,125.0,4.0,,packet of 500 gm Powder
Basic Ayurveda Adrak Tulsi Cough Syrup,150.0,150.0,0.0,4.6,bottle of 200 ml Syrup
SBS Neem Giloy Tulsi Swaras Sugar Free,170.0,150.0,11.0,3.6,bottle of 500 ml Juice
Herbal Hills Herbal Shots Diabohills with Karela and Jamun Pack of 2,490.0,417.0,15.0,,bottle of 500 ml Juice
Swadeshi Karela Ras,190.0,155.0,18.0,,bottle of 500 ml Liquid
Herb Essential Tulsi Powder,150.0,127.0,15.0,4.5,packet of 50 gm Powder
Swadeshi Shudh Neem Honey,150.0,134.0,10.0,3.9,bottle of 250 gm Paste
Kapiva Karela Capsule,170.0,153.0,10.0,4.2,bottle of 60 capsules
Alna Garlic Tablet,180.0,146.0,19.0,,bottle of 30 tablets
Dehlvi Naturals Tulsi Capsule,145.0,145.0,0.0,,bottle of 60 capsules
Pragna Neem Powder,220.0,213.0,3.0,4.4,packet of 500 gm Powder
SBS Giloy Papita Swaras,190.0,164.0,13.0,,bottle of 500 ml Juice
Jain Tulsi Powder,400.0,339.0,15.0,3.8,bottle of 500 gm Powder
Geo Fresh Organic Neem 600mg Tablet,410.0,369.0,10.0,,bottle of 90 tablets
Krishna's Tulsi Panchang Juice,180.0,163.0,9.0,,bottle of 500 ml Juice
Jeevan Ras Neem Leaf Juice,250.0,218.0,13.0,,bottle of 500 ml Juice
Hapdco Clodent Neem Dental Cream,80.0,78.0,2.0,4.6,tube of 100 gm Cream
Satvyk Neem Powder,95.0,95.0,0.0,,packet of 100 gm Powder
Vyas Tulsi Patra Churna,90.0,88.0,2.0,,jar of 100 gm Churna
Geo Fresh Organic Noni 750mg Tablet,275.0,267.0,3.0,,bottle of 90 tablets
Bjain Arsenicum Album Dilution 200 CH,45.0,43.0,4.0,,bottle of 10 ml Dilution
SBL Arsenicum Album 0/2 LM,150.0,139.0,7.0,,bottle of 20 gm Globules
VSF Tulasi 250mg Capsule,120.0,118.0,1.0,,bottle of 60 capsules
Umpl Neem Karela Jamun Juice,474.0,332.0,30.0,,bottle of 500 ml Juice
Vyas Neempatti Churna,80.0,77.0,3.0,,bottle of 100 gm Churna
BeSure Amla Karela Juice,190.0,165.0,13.0,,bottle of 500 ml Juice
Afflatus Affcuff Cough Linctus with Mulethi and Tulsi,65.0,64.0,1.0,,bottle of 100 ml Syrup
Unjha Giloy Satva Powder,48.0,48.0,0.0,,bottle of 10 gm Powder
Nature's Velvet Neem Pure Extract 500mg Capsule,600.0,450.0,25.0,,bottle of 60 capsules
Bliss Welness Cardio Bliss Absolute Omega 3+6+9 Capsule,1259.0,1070.0,15.0,,bottle of 120 capsules
Shivalik Herbals Tulsi 500mg Capsule Pack of 2,570.0,485.0,15.0,,bottle of 60 capsules
Swadeshi Neem Churna,50.0,48.0,4.0,,jar of 100 gm Churna
Swadeshi Karela Jamun Churna,65.0,61.0,6.0,4.3,box of 100 gm Churna
Basic Ayurveda Jamun Karela Mix Juice,165.0,157.0,5.0,4.1,bottle of 500 ml Juice
ProFoods Scorbic Acid (Vitamin C),1770.0,1557.0,12.0,,packet of 1 kg Powder
Organic Wellness OW' Real Tulsi Herbal Infusion Bags Moringa,139.0,135.0,3.0,,box of 25 tea bags
ADEL Arsenicum Album Dilution 1000 CH,180.0,170.0,5.0,,bottle of 10 ml Dilution
Herbal Hills Panch Tulsihills Drop,200.0,186.0,7.0,,bottle of 30 ml Drop
Bjain Arsenicum Album Globules 1000 CH,49.0,47.0,4.0,,bottle of 6 gm Globules
Sri Nature Ayur Neem Powder,90.0,88.0,2.0,,bottle of 100 gm Powder
Satvyk Tulasi Ark,99.0,97.0,2.0,,bottle of 60 ml Ark
Geofresh Energeo-C Tablet,455.0,410.0,10.0,,bottle of 90 tablets
Ag Gold Tablet,1000.0,1000.0,0.0,,strip of 10 tablets
Nutree Pure Salmon Omega 3 Coated  Softgels,999.0,949.0,5.0,,bottle of 60 soft gelatin capsules
Element Lifesciences Immune Well Capsule,999.0,379.0,62.0,,bottle of 60 capsules
Planet Ayurveda Curcumin Capsule,1350.0,1350.0,0.0,,bottle of 60 capsules
Geofresh Panch Tulsi Drop,240.0,233.0,3.0,,bottle of 30 ml Drop
LA Herbal India Ayush Kwath Tablet,250.0,243.0,2.0,,bottle of 100 tablets
Basic Ayurveda Giloy Ka Sharbat,185.0,181.0,2.0,4.4,bottle of 500 ml Liquid
NutrActive Panch Tulsi Ark,249.0,212.0,15.0,4,bottle of 30 ml Liquid
SBS Karela Jamun Neem Swaras Sugar Free,170.0,152.0,10.0,4.6,bottle of 500 ml Juice
Basic Ayurveda Tulsi Ras (Basil Juice),160.0,150.0,6.0,4.5,bottle of 500 ml Juice
Vedaone Organic Neem Tablet,235.0,200.0,15.0,,bottle of 60 tablets
Basic Ayurveda Lahsun (Garlic) Tablet,125.0,125.0,0.0,,bottle of 40 tablets
Basic Ayurveda Van Tulsi Cough Syrup,80.0,78.0,2.0,4.6,bottle of 100 ml Syrup
Geo Fresh Organic Turmeric 750mg Tablet,950.0,855.0,10.0,,bottle of 90 tablets
Yuvika Amba Haldi Powder - Jangli Haldi - Curcuma Aromatica - Wild Turmeric Powder,399.0,230.0,42.0,3.7,packet of 400 gm Powder
Krishna's Karela Jamun Mix Juice,280.0,252.0,10.0,4.8,bottle of 1000 ml Juice
Afflatus Giloy Ras with Tulsi,235.0,228.0,3.0,,bottle of 500 ml Syrup
Dr. Vaidya's Kids Ayurvedic Pack,530.0,435.0,18.0,,box of 1 Combo Pack
Indian Remedies Extract of Lashuna (Garlic) Capsule,110.0,108.0,2.0,,bottle of 50 capsules
Vitro Naturals Certified Organic Tulsi Juice,365.0,310.0,15.0,,bottle of 1 Ltr Juice
Herbal Hills Turmeric Powder,500.0,425.0,15.0,,packet of 1 kg Powder
Nutriorg Karela Juice,245.0,219.0,10.0,,bottle of 500 ml Juice
Meghdoot Neem Churna,55.0,54.0,2.0,3.7,bottle of 100 gm Churna
SBL Arsenicum Album 0/5 LM,150.0,139.0,7.0,,bottle of 20 gm Globules
Dehlvi Naturals Neem Capsule,135.0,135.0,0.0,,bottle of 60 capsules
HealthyHey Curcumin with Bioperine1300mg Vegetable Caps With Piperine,1599.0,1278.0,20.0,,bottle of 60 vegicaps
Madren Healthcare Panch-Ark Panch Tulsi,220.0,197.0,10.0,,bottle of 25 ml Liquid
Lama Chyawanprash,180.0,148.0,17.0,4,jar of 500 gm Paste
Jindal Herbal Ginger Tulsi Tea (2.5gm Each Sachet),250.0,236.0,5.0,,box of 25 Sachets
Zindagi Giloy Juice (500ml Each),165.0,135.0,18.0,3,combo pack of 1 Bottle
"Aadar Natural Omega 3, 500mg Capsule",610.0,488.0,20.0,,bottle of 60 capsules
Pragna Neem Powder,400.0,340.0,15.0,4.4,packet of 1 kg Powder
Nutrafirst Turmeric Curcumin 500mg Capsule,1999.0,698.0,65.0,,bottle of 60 capsules
Choonkar Omega 3 Fish Oil Capsule,499.0,424.0,15.0,,bottle of 60 capsules
Nature's Velvet Turmeric Curcumin C3 Complex 500mg Veg Capsules,1300.0,975.0,25.0,,bottle of 60 vegicaps
Unjha Neem Tail,65.0,65.0,0.0,,bottle of 50 ml Oil
Nature's Velvet Curcumin Pure Extract 500mg Capsule,1300.0,650.0,50.0,,bottle of 60 capsules
Dr. Vaidya's Family Chyawanprash Pack,280.0,230.0,18.0,,combo pack of 2 units
Bio India Azardiracta Indica (Neem) Ointment,65.0,65.0,0.0,,jar of 30 gm Ointment
Dehlvi Naturals Karela Capsule,145.0,142.0,2.0,,bottle of 60 capsules
Organic Wellness OW' Real Tulsi Herbal Infusion Blend Brahmi,179.0,145.0,19.0,,Tin of 100 gm Powder
Bjain Arsenicum Album Dilution 10M CH,120.0,110.0,8.0,,bottle of 10 ml Dilution
Yuvika Tukmaria Seed - Sabja - Ban Tulsi Seed - Ocimum Basilicum - Basil Seed,449.0,369.0,18.0,,packet of 400 gm Seeds
Morpheme Turmeric Curcumin 95% Veg Capsules,1299.0,948.0,27.0,,bottle of 60 capsules
Vedaone Turmeric Veg-Capsules,175.0,170.0,3.0,,bottle of 60 vegicaps
Livebasil Tulsi Drop,230.0,217.0,5.0,,bottle of 20 ml Drop
Alnavedic Alnameh Jamun Neem Karela Ras,260.0,210.0,19.0,,bottle of 450 ml Liquid
Umpl Tulsi 5+ Drop,585.0,398.0,32.0,4,bottle of 50 ml Drop
Yuvika Amba Haldi - Jangli Haldi - Curcuma Aromatica - Wild Turmeric,299.0,193.0,35.0,,packet of 200 gm Pack
Satvyk Tulsi Seeds,90.0,88.0,2.0,,packet of 100 gm Seeds
Setu Fish Oil 1000mg  Soft Gelatin Capsule,700.0,616.0,12.0,,bottle of 60 soft gelatin capsules
Herbal Hills Neem Powder Organic,200.0,192.0,4.0,3.9,jar of 200 gm Powder
Megafe 3 Softgel Capsule,449.0,424.0,5.0,,bottle of 30 soft gelatin capsules
Yuvika Giloy Sabut - Geeloh - Guduchi - Tinospora Cordifolia,349.0,172.0,50.0,,packet of 200 gm Pack
Dr. Vaidya's Senior Citizen Pack,1035.0,807.0,22.0,,box of 1 Kit
Herb Essential Tulsi Powder,700.0,475.0,32.0,3.6,bottle of 1 kg Powder
Indian Remedies Extract of Lashuna (Garlic) Capsule,220.0,216.0,2.0,,bottle of 100 capsules
Vahdam Teas Turmeric Tea Sampler (2gm Each) Assorted,60.0,48.0,20.0,,box of 4 tea bags
Lama Giloy Satwa,135.0,118.0,12.0,,box of 50 gm Powder
Haslab Sarneem Tonic,90.0,90.0,0.0,,bottle of 100 ml Tonic
Indian Herbal Valley Tulsi Powder,99.0,99.0,0.0,,bottle of 100 gm Powder
"Bliss Welness DetoxBliss Blood Detox Beetroot, Manjistha & Turmeric Extract Vegetarian Capsules",999.0,949.0,5.0,,bottle of 60 vegicaps
Bjain Arsenicum Album Globules 12 CH,49.0,47.0,4.0,,bottle of 6 gm Globules
Biotrex Garlic 500mg Capsule,390.0,321.0,17.0,,bottle of 60 capsules
HealthViva Omega-3 Fish Oil 1000mg Capsule,699.0,642.0,8.0,4.1,bottle of 60 soft gelatin capsules
Jain Karela Powder,400.0,337.0,15.0,,bottle of 500 gm Powder
Dabur Neem Churna,75.0,68.0,9.0,,bottle of 100 gm Churna
Akiva Amla Honey Ginger Drink (40ml Each),1200.0,1080.0,10.0,,combo pack of 30 bottles
Mewar Impex Giloy Powder,400.0,340.0,15.0,,packet of 250 gm Powder
First Bud Organics Panch Tulsi Drop,190.0,184.0,3.0,,bottle of 20 ml Liquid
Basic Ayurveda Neem Leaf Powder,140.0,135.0,3.0,,box of 200 gm Powder
Shri Nath Karela Jamun Plus Ras with Aloe Vera Gel 10gm free,325.0,265.0,18.0,,bottle of 900 ml Liquid
Dr. Vaidya's Imunoherb Capsule (30 Each),570.0,485.0,15.0,,combo pack of 3 bottles
Ven Q10 Capsule,490.0,466.0,5.0,,strip of 10 capsules
Limitra Neem 500mg Capsule,999.0,699.0,30.0,,bottle of 60 capsules
Dark Forest Giloy Stem Powder,349.0,314.0,10.0,,packet of 200 gm Powder
Bhumija Lifesciences Curcumin with Piper Nigram (Curcuma Longa) Capsule,795.0,493.0,38.0,,bottle of 30 capsules
SBS Giloy Papita Swaras,350.0,263.0,25.0,,bottle of 1000 ml Juice
Sharrets Curopep 95% Curcumin & Piperine Extract Capsule,595.0,565.0,5.0,,bottle of 30 capsules
Alna Neem Capsule,125.0,87.0,30.0,,bottle of 30 capsules
Aadar Immunity Pro 500mg Capsule,749.0,599.0,20.0,,jar of 60 capsules
Omega Plus 1000mg Softgels,599.0,599.0,0.0,,bottle of 30 soft gelatin capsules
Shri Nath Vedic Tulsi Drop with Aloe Vera Gel 10gm free,145.0,142.0,2.0,,bottle of 15 ml Drop
Tansukh Neem Patra Churna,65.0,64.0,1.0,,bottle of 100 gm Churna
Ayusya Curcumin Extract Capsule,1200.0,1020.0,15.0,,bottle of 60 gm Capsule
Natural Tulsi Drop,999.0,600.0,40.0,,bottle of 30 ml Drop
Swadeshi Karela Churna,62.0,58.0,6.0,4.8,box of 100 gm Churna
Shri Nath Karela Jamun Plus Ras with Aloe Vera Gel 10gm free,165.0,157.0,5.0,,bottle of 450 ml Liquid
Nature's Velvet Karela Pure Extract 500mg Capsule,600.0,450.0,25.0,,bottle of 60 capsules
HealthVit Turmeric Formula (Healthy Inflammation Response) 400mg Capsule,200.0,174.0,13.0,,bottle of 60 capsules
SBL Arsenicum Album 0/4 LM,150.0,139.0,7.0,,bottle of 20 gm Globules
Tansukh Tulsi Patra Churna,75.0,74.0,1.0,4.4,bottle of 100 gm Churna
Yuvika Tulsi Patta Powder - Ocimum Sanctum - Tulsi Leaves Powder,649.0,349.0,46.0,,packet of 400 gm Powder
BeSure Karela Jamun Juice,250.0,187.0,25.0,,bottle of 500 ml Juice
Inlife Karela 500mg Capsule,449.0,300.0,33.0,,bottle of 60 capsules
SBL Arsenicum Album 0/6 LM,150.0,139.0,7.0,,bottle of 20 gm Globules
Yuvika Kashmiri Lehsun - Snow Mountain Garlic,799.0,400.0,50.0,4.4,packet of 200 gm Pack
Organic Wellness OW' Real Tulsi Herbal Infusion Bags Brahmi,139.0,124.0,10.0,,box of 25 tea bags
Jain Tulsi Capsule,135.0,121.0,10.0,4.3,bottle of 60 capsules
Basic Ayurveda Panch Basil Drop,110.0,108.0,2.0,4.6,bottle of 10 ml Drop
Herbal Hills 100% Organic Tulsi Powder Organic,250.0,238.0,4.0,,jar of 200 gm Powder
Yuvika Giloy Sabut - Geeloh - Guduchi - Tinospora Cordifolia,399.0,331.0,17.0,,packet of 400 gm Pack
Novkafit Omega 3 Fish Oil 1000mg Softgels,799.0,679.0,15.0,,bottle of 60 soft gelatin capsules
Bjain Arsenicum Album Dilution 6 CH,145.0,131.0,9.0,,bottle of 100 ml Dilution
Nutriorg Tulsi Ark,195.0,187.0,4.0,,bottle of 30 ml Liquid
Dr. Patkar's Apple Cider Vinegar with Garlic and Honey,675.0,675.0,0.0,,bottle of 500 ml Liquid
Bjain Arsenicum Album Dilution 1000 CH,60.0,57.0,5.0,,bottle of 10 ml Dilution
Bjain Arsenicum Album Dilution 10M CH,409.0,356.0,13.0,,bottle of 100 ml Dilution
Yuvika Tukmaria Seed - Sabja - Ban Tulsi Seed - Ocimum Basilicum - Basil Seed,799.0,639.0,20.0,,packet of 1 kg Seeds
Bjain Arsenicum Album Dilution 200 CH,95.0,89.0,6.0,,bottle of 30 ml Dilution
Novel Nutrients Neem 500mg Capsule,325.0,276.0,15.0,,bottle of 60 capsules
Bjain Arsenicum Album Dilution 6 CH,85.0,79.0,7.0,,bottle of 30 ml Dilution
JJW Mart Giloy,785.0,746.0,5.0,,packet of 1000 gm Pack
Organic Wellness OW' Real Tulsi Herbal Infusion Bags Ginger,139.0,134.0,3.0,,box of 25 tea bags
Yuvika Tukmaria Seed - Sabja - Ban Tulsi Seed - Ocimum Basilicum - Basil Seed,349.0,287.0,17.0,,packet of 200 gm Seeds
Bjain Arsenicum Album Globules 6 CH,49.0,47.0,4.0,,bottle of 6 gm Globules
FB Nutrition Glutamine with Vitamin C,1450.0,1088.0,25.0,,jar of 300 gm Powder
Yuvika Karela Powder - Momordica Charantia - Bitter Gourd,199.0,163.0,18.0,,packet of 100 gm Powder
Yuvika Amba Haldi Powder - Jangli Haldi - Curcuma Aromatica - Wild Turmeric Powder,249.0,205.0,17.0,3.7,packet of 100 gm Powder
Organic Wellness OW' Real Tulsi Herbal Infusion Bags Green Tea Saffron,499.0,423.0,15.0,,box of 25 tea bags
Walpar Omega 3 Fish Oil Capsule,799.0,799.0,0.0,,bottle of 60 capsules
Emune 19 Syrup,150.0,125.0,16.0,,bottle of 200 ml Syrup
Bjain Arsenicum Album Dilution 6 CH,40.0,38.0,5.0,,bottle of 10 ml Dilution
Vitro Naturals 100% Certified Organic Neem Powder,70.0,69.0,1.0,,bottle of 100 gm Powder
ProFoods Scorbic Acid (Vitamin C),1000.0,1000.0,0.0,,packet of 350 gm Powder
Basic Ayurveda Basic 5 Greens Panch Ras,240.0,221.0,8.0,4.1,bottle of 500 ml Juice
Bjain Arsenicum Album Dilution 1000 CH,115.0,106.0,8.0,,bottle of 30 ml Dilution
Meghdoot Karela Powder,60.0,59.0,1.0,,bottle of 100 gm Powder
Indu Pharma Chyawanprash Avaleha,320.0,320.0,0.0,,jar of 250 gm Paste
Dr. Vaidya's Health Home Pack - Ayurvedic Health Home Pack,835.0,660.0,21.0,,packet of 1 Kit
PHS Neem Ras with Aloe Vera Gel 10gm Free,200.0,190.0,5.0,,bottle of 900 ml Juice
Herbal Hills Neem Powder Pack of 2,120.0,115.0,4.0,3.9,jar of 100 gm Powder
Yuvika Neem Patta Powder - Azadirachta Indica - Neem Leaves,349.0,287.0,17.0,,packet of 400 gm Powder
Yuvika Kashmiri Lehsun - Snow Mountain Garlic,499.0,414.0,17.0,4.4,packet of 100 gm Pack
Yuvika Karela Powder - Momordica Charantia - Bitter Gourd,399.0,260.0,35.0,,packet of 400 gm Powder
Jain Karela Powder,600.0,510.0,15.0,,box of 1 kg Powder
ByGrandma Immunity Booster Combo,560.0,476.0,15.0,,combo pack of 2 Packs
Neuhack Turmeric+ Curcumin with Piperine Capsule,185.0,150.0,19.0,,strip of 10 capsules
Vitro Naturals Karela Juice,285.0,259.0,9.0,3.5,bottle of 1 Ltr Juice
Tansukh Chyawangold,495.0,396.0,20.0,3.3,jar of 500 gm Paste
Satvyk Karela Powder,49.0,49.0,0.0,,packet of 100 gm Powder
Organic Wellness OW' Real Tulsi Herbal Infusion Blend Ginger,179.0,158.0,11.0,,Tin of 100 gm Powder
Basic Ayurveda Turmeric Juice,270.0,262.0,3.0,,bottle of 500 ml Juice
Organic Wellness OW' Real Tulsi Herbal Infusion Blend The Original,149.0,144.0,3.0,,Tin of 100 gm Powder
Bhumija Lifesciences Giloy Tulsi Juice Sugar Free,742.0,535.0,28.0,,bottle of 1 Ltr Juice
Deemark Tulsi Panchamrit,150.0,131.0,12.0,,bottle of 15 ml Liquid
Biotrex Turmeric Herbal Powder,200.0,192.0,4.0,,packet of 200 gm Powder
Swadeshi Summer Special Pack,550.0,428.0,22.0,,box of 1 Kit
Shri Nath Giloy Ras with Aloe Vera Gel 10gm free,180.0,173.0,4.0,,bottle of 450 ml Liquid
Butterfly Ayurveda Suprabhat Chai Green Tea Leaves with Tulsi,735.0,676.0,8.0,,packet of 200 gm Leaves
Sri Nature Ayur Neem Powder,200.0,196.0,2.0,,bottle of 500 gm Powder
Krishna's Karela Jamun Mix Juice,165.0,152.0,8.0,4.8,bottle of 500 ml Juice
Planet Ayurveda Giloy Capsule,1350.0,1350.0,0.0,,bottle of 60 capsules
SBL Arsenicum Album 0/10 LM,150.0,139.0,7.0,,bottle of 20 gm Globules
"Dr. Patkar's Combo Pack of Apple Cider Vinegar with Garlic, Ginger, Lemon and Honey 2 Bottles of 500ml Each and 1 Bottle of 200ml",2824.0,2349.0,17.0,,combo pack of 3 bottles
JJW Mart Giloy,525.0,499.0,5.0,,packet of 500 gm Pack
HealthVit Natural Garlic (Allium Sativum) Powder,150.0,145.0,3.0,,packet of 100 gm Powder
Yuvika Giloy Powder - Geeloh - Guduchi - Tinospora Cordifolia,399.0,180.0,55.0,4.1,packet of 200 gm Powder
Nature's Velvet Flaxseed Oil 1000mg Capsule,1000.0,750.0,25.0,,bottle of 60 capsules
Organic Wellness OW' Real Tulsi Herbal Infusion Blend Moringa,179.0,152.0,15.0,,Tin of 100 gm Powder
S Mega 3 Capsule,149.0,149.0,0.0,,strip of 10 capsules
Shrimad Ayush Kwath,190.0,184.0,3.0,,bottle of 500 ml Liquid
Dr. Vaidya's Ayurvedic Women's Pack,1330.0,1037.0,22.0,,combo pack of 6 Packs
Zenlife Jamun Karela Plus Syrup,370.0,315.0,15.0,,bottle of 1 Ltr Syrup
Coderose Softgel Capsule,200.0,200.0,0.0,,strip of 10 soft gelatin capsules
Geofresh Oxygeo Tablet,680.0,612.0,10.0,,bottle of 90 tablets
Bliss Welness Cardio Bliss + Omega 3 6 9 Softgel,1259.0,1070.0,15.0,3.5,bottle of 120 capsules
Vitro Naturals Certified Organic Karela Juice,395.0,336.0,15.0,,bottle of 1 Ltr Juice
Herb Essential Tulsi Powder,399.0,288.0,28.0,,box of 227 gm Powder
Organic Wellness OW' Real Tulsi Herbal Infusion Blend Green Tea Classic,199.0,191.0,4.0,,Tin of 100 gm Powder
Vitro Naturals Certified Organic Tulsi Juice,255.0,234.0,8.0,,bottle of 500 ml Juice
Afflatus Jamun Karela Plus  Juice Sugar Free,235.0,210.0,10.0,,bottle of 500 ml Juice
Dr. Vaidya's Headache Pack- Ayurvedic Pack Treatment for Headache,775.0,613.0,21.0,,packet of 1 Kit
Butterfly Ayurveda Tulsi Green Tea,450.0,414.0,8.0,,packet of 100 gm Tea
Vitrovea Double Strength Fish Oil 1000mg Softgels,990.0,990.0,0.0,,bottle of 60 soft gelatin capsules
Basic Ayurveda Oxy Meal Syrup Peppermint,220.0,206.0,6.0,,bottle of 250 ml Syrup
Natural Garlic 500mg Capsule,999.0,600.0,40.0,,bottle of 60 capsules
Mewar Impex Tulsi Seed (Tukmaria),500.0,375.0,25.0,,packet of 500 gm Seeds
Indian Herbal Valley Karela Powder,74.0,73.0,1.0,,bottle of 100 gm Powder
GNC Triple Strength Fish Oil +Krill Soft Gelatin Capsule,4529.0,3487.0,23.0,,bottle of 60 soft gelatin capsules
Mewar Impex Tulsi Seed (Tukmaria),300.0,260.0,13.0,,packet of 250 gm Seeds
Aushadh Tulsi Rich Cough Syrup,90.0,88.0,2.0,,bottle of 100 ml Syrup
Basic Ayurveda Karela Powder,150.0,145.0,3.0,,jar of 200 gm Powder
Madren Healthcare Karela Jamun Juice,599.0,329.0,45.0,,bottle of 1000 ml Juice
