Name,MRP,Rate,Discount,Ratings,Packing
UE Swatchh Multi Purpose Disinfectant,3332.0,2169.0,35.0,,bottle of 5 Ltr Liquid
Indiklin Premium Surface Disinfectant (500ml Each) Lavender,498.0,299.0,40.0,,combo pack of 2 bottles
Mamaearth Plant Based Multipurpose Cleanser for Babies,499.0,399.0,20.0,,bottle of 500 ml Liquid
Asianpaints Viroprotek Advanced Hand Sanitizer & Disinfectant (100ml Each),250.0,250.0,0.0,,combo pack of 5 bottles
La Nature's Antiseptic Disinfectant Liquid (100ml Each),110.0,110.0,0.0,,combo pack of 2 bottles
SterloMax E80 Rub-In-Hand Disinfectant & Sanitizer,250.0,250.0,0.0,,bottle of 500 ml Sanitizer
Dabur Sanitize Antiseptic Liquid,55.0,55.0,0.0,,bottle of 125 ml Liquid
Dettol Lime Fresh Multi-Purpose Disinfectant Liquid,193.0,193.0,0.0,4.1,bottle of 500 ml Liquid
Keepsafe Toilet Seat Disinfectant Spray,215.0,183.0,15.0,,bottle of 90 ml Spray
Dettol Lime Fresh Multi-Purpose Disinfectant Liquid,347.0,347.0,0.0,4.1,bottle of 1 Ltr Liquid
Savlon Antiseptic Liquid,156.0,156.0,0.0,4.5,bottle of 500 ml Liquid
Schulke Mikrozid HP 10 Eco-Friendly Environmental Disinfectant,850.0,850.0,0.0,,bottle of 1 Ltr Liquid
SterloMax I Rub-In-Hand Disinfectant & Sanitizer,2499.0,2499.0,0.0,,Canister of 5 Ltr Sanitizer
Suthol Antiseptic Skin Liquid Neem,40.0,40.0,0.0,4.4,bottle of 100 ml Liquid
SterloMax E80 Rub-In-Hand Disinfectant & Sanitizer,2099.0,2099.0,0.0,,Canister of 5 Ltr Sanitizer
Savlon Antiseptic Liquid,291.0,291.0,0.0,4.5,bottle of 1000 ml Liquid
Dettol Lime Fresh Multi-Purpose Disinfectant Liquid,98.0,98.0,0.0,4.1,bottle of 200 ml Liquid
Suthol Antiseptic Spray,75.0,75.0,0.0,4.4,packet of 100 ml Spray
PHS Sceptre Sceptolon Antiseptic Liquid,280.0,280.0,0.0,,bottle of 1 Ltr Liquid
Bacto-V Gadget Disinfectant,249.0,249.0,0.0,4.1,pump bottle of 100 ml Spray
Corosol Instant Disinfectant Spray,399.0,379.0,5.0,4.3,pump bottle of 370 ml Spray
SteriAll-D Disinfectant Floor Cleanser,225.0,214.0,5.0,,bottle of 950 ml Liquid
SemcoCare+ Clenso Surface Disinfectant Ethanol Spray,299.0,189.0,36.0,,pump bottle of 215 ml Spray
Dettol Menthol Cool Multi-Purpose Disinfectant Liquid,315.0,315.0,0.0,4,bottle of 1 Ltr Liquid
Dettol Antiseptic Disinfectant Liquid,176.91,176.91,0.0,4.6,bottle of 550 ml Liquid
Dettol Antiseptic Disinfectant Liquid,301.29,301.29,0.0,4.6,bottle of 1 Ltr Liquid
Dettol Antiseptic Disinfectant Liquid,1356.69,1356.69,0.0,4.7,jar of 5000 ml Liquid
Dettol Antiseptic Liquid (60ml Each),110.0,110.0,0.0,4.9,combo pack of 4 bottles
Dettol Antiseptic Liquid (125ml Each),110.0,110.0,0.0,,combo pack of 2 bottles
Dettol Disinfectant Spray Spring Blossom,159.0,159.0,0.0,4.7,pump bottle of 170 gm Spray
Lizol Disinfectant Surface Cleaner Lavender,179.0,158.0,11.0,4.3,bottle of 975 ml Liquid
Lizol Disinfectant Surface Cleaner Neem,93.0,84.0,9.0,4.3,bottle of 500 ml Liquid
SteriAll-MPC Sodium Hypochlorite Multipurpose Disinfectant Solution,1200.0,599.0,50.0,,Canister of 5 Ltr Liquid
Shamrock Sodium Hypochlorite Solution,450.0,450.0,0.0,,bottle of 5 Ltr Solution
SteriAll-MC Multipurpose Disinfectant Cleaning Solution,650.0,618.0,5.0,,Canister of 5 Ltr Liquid
Lizol Disinfectant Surface Cleaner Sandal,93.0,84.0,9.0,4.3,bottle of 500 ml Liquid
Lizol Disinfectant Surface Cleaner Refreshing Tulsi,93.0,84.0,9.0,4.3,bottle of 500 ml Liquid
Lizol Disinfectant Surface Cleaner Jasmine,179.0,158.0,11.0,4.3,bottle of 975 ml Liquid
Lizol Disinfectant Surface Cleaner Neem,179.0,158.0,11.0,4.3,bottle of 975 ml Liquid
Tri-Active Multi-Surfaces Disinfectant Spray,159.0,159.0,0.0,,pump bottle of 230 ml Spray
Lizol Disinfectant Surface Cleaner Citrus,38.0,36.0,5.0,4.3,bottle of 200 ml Liquid
Lizol Disinfectant Surface Cleaner Refreshing Tulsi,179.0,158.0,11.0,4.3,bottle of 975 ml Liquid
Inlife Powerful Surface Cleaner,900.0,581.0,35.0,,Canister of 5 Ltr Liquid
